"filename", "language", "Go Module File", "Go", "Go Checksum File", "YAML", "comment", "blank", "total"
"/home/cpmores/Documents/development/repo/lucinda/api/v1/chats.go", "Go", 0, 20, 0, 0, 4, 6, 30
"/home/cpmores/Documents/development/repo/lucinda/api/v1/ollama.go", "Go", 0, 41, 0, 0, 2, 7, 50
"/home/cpmores/Documents/development/repo/lucinda/api/v1/router.go", "Go", 0, 1, 0, 0, 1, 2, 4
"/home/cpmores/Documents/development/repo/lucinda/cmd/node/main.go", "Go", 0, 41, 0, 0, 0, 13, 54
"/home/cpmores/Documents/development/repo/lucinda/configs/server/config.yaml", "YAML", 0, 0, 0, 10, 1, 1, 12
"/home/cpmores/Documents/development/repo/lucinda/go.mod", "Go Module File", 20, 0, 0, 0, 0, 4, 24
"/home/cpmores/Documents/development/repo/lucinda/go.sum", "Go Checksum File", 0, 0, 49, 0, 0, 1, 50
"/home/cpmores/Documents/development/repo/lucinda/internel/node/node.go", "Go", 0, 2, 0, 0, 0, 2, 4
"/home/cpmores/Documents/development/repo/lucinda/internel/provider/ollama_driver.go", "Go", 0, 100, 0, 0, 5, 20, 125
"/home/cpmores/Documents/development/repo/lucinda/internel/provider/provider.go", "Go", 0, 44, 0, 0, 1, 13, 58
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/capabilityMetric/capability.go", "Go", 0, 25, 0, 0, 2, 8, 35
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/dividePolicy/singleDivide.go", "Go", 0, 44, 0, 0, 0, 10, 54
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/policy.go", "Go", 0, 18, 0, 0, 0, 7, 25
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/postPolicy/sequencePost.go", "Go", 0, 11, 0, 0, 0, 6, 17
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/policy/routePolicy/localRoute.go", "Go", 0, 47, 0, 0, 0, 11, 58
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/routeController.go", "Go", 0, 1, 0, 0, 0, 1, 2
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/taskDivider/taskDivider.go", "Go", 0, 58, 0, 0, 2, 17, 77
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/taskReducer/reducer.go", "Go", 0, 9, 0, 0, 0, 4, 13
"/home/cpmores/Documents/development/repo/lucinda/internel/routeController/taskRouter/router.go", "Go", 0, 83, 0, 0, 1, 23, 107
"/home/cpmores/Documents/development/repo/lucinda/internel/server/httpServer.go", "Go", 0, 92, 0, 0, 3, 21, 116
"/home/cpmores/Documents/development/repo/lucinda/internel/server/server.go", "Go", 0, 39, 0, 0, 5, 12, 56
"Total", "-", 20, 676, 49, 10, 27, 189, 971
